Manufacturer Part Number,Quantity,Description
MFR-25FTE52-1M,6,1M metal film 1/4W R1 R2 R11 R15 R16 R25
MFR-25FTE52-1K,4,1k — R3 R9 R17 R23 (qty 2 if R3/R17 are 100k instead)
MFR-25FTE52-100K,2,100k — R3 R17 HG option only
MFR-25FTE52-33K,2,R4 R18
MFR-25FTE52-27K,2,R5 R19
MFR-25FTE52-10K,2,R6 R20
MFR-25FTE52-220K,2,R7 R21
MFR-25FTE52-6K8,4,R8 R10 R22 R24
MFR-25FTE52-47K,2,R12 R13
MFR-25FTE52-4K7,2,R14 R26
MKS2D022201A00JSSD,2,WIMA 22n film C1 C12
MKS2D021003B00KSSD,8,WIMA 10n film
MKS2D031004B00MSSD,2,WIMA 100n film
MKS4D013302D00JSSD,2,WIMA 1u film C8 C19
C410C101J5G5TA7201,2,Kemet 100p C2 C13
UVR1H010MDD1TA,2,Nichicon 1u elec
UVR1E100MDD1TA,3,Nichicon 10u elec
UVR1E101MED1TA,1,Nichicon 100u elec
NJM4580DD,2,Op-amp
TC1044SCPA,1,Charge pump
MA856,8,Diode DO-34
1S1588,4,Diode DO-35
1N5817,3,Schottky
